codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose_unica
280240,Gararu,11601,203,448,701,4059,1528,3785,1215,153,4,0,257,519,736,0,0,15,6,0,0,9,246,228,0,0,0,16,12,6,415,0,0,50,446,367,279,15,6,0,132,4,0,248,508,305,0,0,10,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,1187,462,1115,376,125,0,0,53,106,211,0,0,26,2,1,1,59,153,77,0,0,0,34,0,4,84,0,0,0,110,60,0,5,4,0,98,0,0,50,106,117,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,2266,943,2189,807,132,0,0,172,286,479,0,0,14,5,0,4,77,445,103,0,0,0,24,3,10,139,0,0,1,168,93,0,29,5,0,104,0,0,172,284,238,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,3096,1282,2621,750,138,0,0,189,279,528,0,313,13,5,1,5,70,326,181,0,0,0,13,5,5,198,0,0,0,189,143,0,13,7,0,110,0,0,177,268,186,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,5199,1792,4720,1282,279,0,0,290,452,790,0,117,55,11,3,1,44,441,378,4,0,0,28,5,1,431,0,0,5,456,445,454,23,7,0,228,0,0,234,424,348,0,0,30,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,36015,12091,34393,11173,3207,246,0,1955,3432,6272,20,0,242,67,5,24,136,4686,1170,0,0,0,255,76,1954,2559,766,0,502,2398,1362,925,256,42,0,1969,156,0,1903,3311,1831,0,0,120,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1836
280300,Itabaianinha,42166,630,1353,2494,14258,4471,12885,3769,827,0,0,697,1426,2258,0,0,68,20,4,5,288,2513,615,0,0,0,18,70,150,613,6,0,1088,712,618,719,136,34,0,555,0,0,627,1350,1203,0,0,9,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280310,Itabi,4886,115,264,446,2147,813,1938,672,110,0,0,105,286,408,0,0,8,4,3,1,65,285,118,0,0,0,0,0,9,156,0,0,2,156,168,36,15,3,0,92,0,0,106,280,186,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,11145,4176,9264,3229,715,0,0,476,1390,1783,0,0,60,18,5,20,174,2047,548,0,0,0,29,51,53,464,0,0,272,577,454,63,56,9,0,584,0,0,496,1174,939,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,6820,2790,6356,1973,345,0,0,298,705,1093,0,335,35,9,1,13,117,669,367,0,0,0,74,2,20,510,2,0,73,478,543,561,45,13,48,264,0,0,294,653,411,0,303,0,6,0,7,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
280340,Japoatã,13429,208,477,734,5029,2245,4483,1231,245,0,0,258,500,798,0,533,27,13,1,7,110,539,236,0,0,0,20,1,1,348,0,0,129,322,236,159,0,0,0,215,0,0,163,468,368,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,46508,17390,40192,12725,4315,48,0,2042,4179,6960,9,661,190,69,9,32,733,4413,1841,0,0,0,106,189,911,2772,226,0,426,3264,3450,1687,235,41,0,3110,46,0,1829,3810,2363,0,0,20,46,0,9,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1384
280360,Laranjeiras,30080,269,727,1448,13632,5995,10354,2556,619,0,0,295,715,1278,0,2029,105,24,2,8,75,1579,544,0,0,0,39,40,59,451,0,1,436,582,638,565,48,12,0,434,0,0,261,715,916,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
280370,Macambira,6961,178,337,535,2738,1055,2762,930,132,0,0,186,320,514,0,0,11,5,1,7,25,528,118,0,0,0,13,29,31,283,0,0,93,208,200,54,0,4,0,99,0,0,254,328,214,0,0,10,2,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,1291,597,1188,381,107,0,0,76,125,215,0,0,18,6,0,0,16,247,92,0,0,0,2,0,7,132,0,0,6,131,7,1,0,0,0,97,0,0,62,124,84,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280390,Malhador,12653,203,468,914,4501,1546,4150,1147,185,0,0,222,497,843,0,0,13,10,1,6,74,461,270,0,0,0,32,69,187,335,4,0,0,410,413,78,29,11,0,138,0,0,220,453,310,0,0,10,10,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280400,Maruim,17271,179,453,898,5046,1811,4439,1286,304,0,0,242,534,1019,1,0,54,4,4,8,150,648,276,0,0,0,45,29,15,417,0,0,82,413,129,0,51,14,0,254,0,0,222,491,287,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,4781,2155,4807,1642,190,0,0,323,608,889,0,0,11,10,1,4,154,858,178,0,0,0,31,13,233,233,0,0,3,298,355,353,46,16,0,131,0,0,322,582,590,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,4509,1778,3435,1433,216,0,0,210,443,778,0,0,12,6,6,11,0,298,265,0,0,0,42,0,22,33,0,0,0,347,366,380,0,0,0,189,0,0,209,431,598,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280430,Muribeca,7639,120,263,500,2719,1161,2401,853,156,0,0,131,286,517,0,0,13,3,0,9,3,551,146,0,0,0,8,10,22,136,0,0,10,192,177,10,20,1,0,99,0,0,129,281,330,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,7174,2706,5746,1948,445,0,0,409,692,1184,0,0,37,11,6,13,25,797,319,0,0,0,15,1,10,425,0,2,387,441,395,111,16,5,0,396,0,0,306,597,617,0,0,27,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,3748,1514,3660,1329,146,0,0,222,447,646,0,126,8,5,0,0,95,296,0,0,0,0,18,16,69,241,172,0,176,331,445,169,30,2,0,138,0,0,217,441,395,0,126,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,13751,4461,11886,4151,1004,20,0,692,1355,1971,0,0,70,10,5,13,346,1224,636,18,229,0,71,6,181,896,133,0,6,1464,804,0,110,26,0,782,19,0,654,1353,669,0,0,52,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596
280460,Nossa Senhora das Dores,26795,473,1011,1821,9656,3549,8858,2715,687,0,0,548,1060,1752,12,0,66,24,19,74,82,1536,494,0,0,0,171,15,159,594,0,0,334,643,560,6,15,7,0,525,0,0,504,942,699,0,0,30,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,2450,1011,2270,767,156,0,0,132,303,462,0,0,16,3,0,1,60,298,164,0,0,0,19,2,12,210,0,0,2,250,144,10,23,3,0,114,0,0,120,282,241,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,58460,17505,54167,15440,2790,36,0,1481,3878,8717,0,2,397,86,19,22,472,9476,2431,64,462,0,547,71,386,4344,0,0,1485,5265,5476,3533,257,56,0,2017,36,0,1346,3558,5876,0,0,112,60,5,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414
280490,Pacatuba,14540,230,455,822,4373,1559,4133,1277,226,0,0,229,461,803,0,0,8,12,4,9,211,1031,270,0,1,0,16,0,9,206,0,0,53,297,189,7,70,21,0,175,0,0,221,437,425,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280500,Pedra Mole,3285,65,121,245,1208,439,1094,350,91,0,0,68,146,219,0,0,9,1,0,0,45,294,60,0,0,0,7,1,1,60,0,0,2,62,28,0,0,0,0,53,0,0,68,139,78,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280510,Pedrinhas,9665,156,335,604,3163,1213,2898,979,185,0,0,231,399,548,0,0,22,11,0,3,36,400,155,0,0,0,10,22,15,170,0,0,22,278,255,118,15,3,0,131,0,0,180,384,268,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280520,Pinhão,6627,134,336,524,2518,1051,2365,899,96,0,0,127,319,481,0,0,10,7,0,5,49,117,116,0,0,0,14,16,17,210,0,0,17,306,235,214,9,0,0,84,0,0,125,315,361,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280530,Pirambu,9359,130,267,522,3412,1356,3248,858,169,0,0,157,267,510,2,302,27,3,0,0,28,589,100,0,0,0,60,60,5,265,76,0,0,202,199,181,36,0,0,155,0,0,152,252,259,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10
280540,Poço Redondo,35122,399,1056,1672,9959,3946,9029,3310,489,0,0,535,1110,1385,0,327,47,19,18,22,62,2150,407,0,0,0,18,19,87,539,0,0,2,512,601,562,115,3,0,376,0,0,475,1155,1273,0,0,11,10,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
280550,Poço Verde,23867,576,1241,1828,9781,4111,8712,3107,416,0,0,549,1120,1795,0,140,16,9,3,10,341,782,381,0,0,0,42,61,32,739,7,0,500,805,540,388,34,2,0,392,0,0,513,1121,1068,0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280560,Porto da Folha,28693,477,1002,1660,9911,4017,9237,3121,507,0,278,502,1059,1661,2,408,48,11,2,6,185,805,531,0,0,0,26,20,1,801,5,0,0,947,911,392,109,20,0,402,0,276,494,1020,903,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280570,Propriá,29692,524,990,1914,11868,3903,12189,3050,1131,21,0,582,1004,1782,0,14,157,22,2,23,67,1831,489,0,0,0,51,20,96,738,209,0,582,853,874,872,62,8,699,946,21,0,518,965,531,0,0,58,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280580,Riachão do Dantas,19809,386,781,1181,6903,2953,6171,2143,258,0,0,468,876,1206,0,249,25,4,2,6,161,1267,255,0,0,0,25,36,13,296,0,0,17,565,395,0,35,12,0,301,0,0,392,845,595,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280590,Riachuelo,10284,116,275,517,3733,1380,3068,948,238,0,0,133,254,521,0,171,17,7,0,3,8,328,176,0,0,0,41,7,3,227,0,0,321,257,217,118,13,8,0,203,0,0,125,241,359,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280600,Ribeirópolis,18773,438,892,1340,7159,2783,6924,2319,431,49,0,414,843,1261,0,0,37,15,4,2,155,1047,361,0,0,0,37,71,194,546,0,0,236,527,570,77,41,6,0,349,49,0,411,839,638,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280610,Rosário do Catete,11008,97,240,544,4312,1154,2964,892,319,0,0,130,338,458,0,0,48,12,0,3,36,616,132,0,0,0,95,0,0,280,0,0,0,133,235,100,22,7,0,268,0,0,123,288,201,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280620,Salgado,20025,352,780,1250,7548,2587,6865,2100,323,0,0,411,842,1278,0,0,13,11,1,1,200,983,403,0,0,0,28,30,62,595,0,0,119,734,620,152,43,16,0,265,0,0,406,839,575,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280630,Santa Luzia do Itanhy,14121,156,374,758,6294,4116,5328,799,194,0,0,187,393,759,0,1912,11,12,1,1,74,404,202,0,0,0,6,0,1,231,0,0,0,210,251,439,28,12,0,151,0,0,184,306,141,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280650,Santa Rosa de Lima,3923,88,163,403,1492,607,1447,516,105,0,0,93,175,243,0,0,18,3,0,0,13,164,134,0,0,0,27,4,23,106,0,0,2,115,92,115,13,2,0,95,0,0,91,171,151,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280640,Santana do São Francisco,7844,111,218,472,2216,712,2053,581,144,0,0,138,260,370,0,0,7,3,1,2,61,376,124,0,0,0,16,10,0,154,0,0,0,208,140,0,32,7,0,98,0,0,110,236,128,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280660,Santo Amaro das Brotas,12151,205,399,774,3891,1844,3548,1494,184,0,0,236,422,799,0,0,27,13,0,1,61,667,178,0,0,0,0,38,1,239,0,0,10,264,328,68,9,3,0,170,0,0,235,419,639,0,0,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280670,São Cristóvão,91093,989,2400,5663,37481,8992,33419,8457,1601,27,0,1091,2230,5131,2,30,250,51,14,38,435,5324,1732,76,2674,0,109,388,141,1803,1594,0,465,2446,2594,1395,202,47,0,1194,26,0,951,2159,2538,0,0,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1529
280680,São Domingos,11207,218,488,817,3930,1527,3769,1574,221,0,0,192,480,767,0,0,19,15,3,1,179,356,225,0,0,0,24,25,113,254,4,0,4,303,388,163,23,10,0,154,0,0,191,476,731,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280690,São Francisco,3781,64,138,246,1274,479,1084,417,113,0,0,63,115,241,0,0,12,1,0,4,37,188,103,0,0,0,0,6,1,87,0,0,0,80,12,1,15,5,0,78,0,0,57,116,153,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280700,São Miguel do Aleixo,3947,83,169,283,1561,669,1399,525,95,0,0,95,184,293,0,0,14,2,0,0,40,183,89,0,0,0,24,4,6,147,0,0,0,120,81,3,19,0,0,90,0,0,94,184,147,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280710,Simão Dias,40606,914,1749,2657,16671,6330,15129,5420,966,12,0,1145,1864,2649,0,256,91,27,7,16,189,1126,708,0,0,0,87,104,146,1254,0,0,1320,1201,1022,200,103,18,0,774,12,0,994,1696,1271,0,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618
280720,Siriri,8970,154,316,533,3110,1263,2729,919,200,0,0,162,306,489,0,168,10,1,1,4,69,288,186,0,0,0,30,3,33,213,0,0,87,240,183,36,17,3,0,137,0,0,157,298,315,0,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280730,Telha,3249,49,100,178,1154,419,1081,371,101,0,0,59,102,184,0,0,12,4,0,0,16,337,67,0,0,0,23,0,9,67,0,0,3,48,32,0,13,4,0,83,0,0,59,101,115,0,0,6,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280740,Tobias Barreto,52530,1046,2188,3513,21379,7528,19693,6958,1658,33,0,1320,2111,3222,0,0,105,36,5,7,234,2504,973,82,476,0,43,156,100,1045,0,0,1000,1560,890,1185,44,12,0,993,33,0,1074,2080,1695,0,0,105,35,1,2,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892
280750,Tomar do Geru,13535,208,446,760,4369,1526,3957,1184,213,0,0,207,454,737,0,0,14,1,0,5,80,331,197,0,0,0,26,9,19,337,0,0,21,360,400,511,31,4,0,150,0,0,219,416,387,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280760,Umbaúba,25550,308,725,1482,8635,2668,7854,2127,471,0,0,376,728,1452,0,0,26,26,2,17,218,905,574,0,0,0,52,59,104,526,6,0,184,599,650,823,35,21,0,427,0,0,327,672,663,0,0,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
