codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549
280010,Amparo de São Francisco,2380,51,89,140,890,306,757,237,63,0,0,42,97,138,0,182,27,0,0,0,1,151,39,1,0,0,16,0,0,0,0,0,0,0,0,63,0,0,40,84,38,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,6258,2964,4904,2209,447,18,0,481,858,1374,0,159,24,13,5,9,25,510,729,0,0,0,33,33,29,113,0,0,44,0,0,381,17,0,244,797,751,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,209319,93970,175065,60026,35947,349,0,11895,25144,46506,73,202,4469,370,0,0,93,33756,4764,280,628,0,817,1033,0,8739,0,0,0,0,0,21823,339,0,7284,16147,13521,41,50,603,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2510,1082,2192,1067,166,0,0,211,466,641,0,0,12,9,1,0,100,310,190,0,0,0,8,6,12,60,0,0,0,0,0,162,0,0,200,466,229,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5073,1701,4250,1472,271,0,0,337,576,1013,0,0,61,8,0,1,114,634,241,171,0,0,24,3,35,323,0,0,0,438,0,253,0,0,244,560,402,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,7668,3605,6329,2787,591,0,0,427,881,1678,0,201,70,24,5,4,69,1331,491,0,0,0,112,0,0,37,0,408,0,0,0,484,0,0,283,861,1103,0,1,37,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,7309,3436,5996,2988,658,9,0,565,1198,1757,0,0,49,23,1,4,77,1159,348,0,0,0,50,38,0,60,0,0,0,0,0,570,9,0,461,1180,730,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2686,628,2258,525,147,0,0,154,199,434,0,674,14,0,0,4,2,444,159,0,0,0,0,0,0,27,0,0,0,0,0,131,0,0,139,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,4960,2325,4381,2035,286,0,0,437,804,1205,0,0,12,22,3,3,145,541,314,0,0,0,29,48,122,410,0,0,0,0,0,240,0,0,429,776,560,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1042,458,904,362,91,0,0,100,176,352,0,0,8,2,0,0,6,92,68,0,0,0,0,1,0,8,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
