codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose1_grupo29_4044,aplicadas_dose1_grupo30_gestantes,aplicadas_dose1_grupo31_puerperas,aplicadas_dose1_grupo32_3539,aplicadas_dose1_grupo33_3034,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549,aplicadas_dose2_grupo29_4044,aplicadas_dose2_grupo30_gestantes,aplicadas_dose2_grupo31_puerperas,aplicadas_dose2_grupo32_3539,aplicadas_dose2_grupo33_3034,aplicadas_dose_unica
280010,Amparo de São Francisco,2380,51,89,140,1104,546,1059,250,67,0,0,42,99,141,0,182,27,0,0,0,22,179,44,1,0,0,19,0,0,36,0,0,2,42,46,52,10,0,48,1,63,0,0,40,94,40,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,8287,3564,7857,2435,471,18,0,485,861,1413,0,159,24,13,6,12,40,568,805,0,0,0,47,42,65,501,0,0,106,643,724,621,33,6,194,0,383,17,0,420,818,773,0,0,16,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,292854,111160,284523,82175,37066,349,0,11966,25295,47185,284,203,4832,376,0,0,0,37096,9306,284,630,449,821,1230,0,101524,0,0,0,0,0,0,1747,0,0,0,22237,339,0,11217,23173,19226,43,125,1609,273,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3880
280040,Arauá,9947,149,348,644,3445,1252,3136,1089,171,0,0,211,466,641,0,0,12,10,2,2,111,377,204,0,0,0,12,12,36,272,0,0,30,311,230,0,24,2,0,0,162,0,0,211,466,229,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,6726,1971,6817,1725,294,0,0,338,578,1030,1,0,62,8,6,8,126,675,254,180,494,0,28,24,61,450,0,0,0,634,642,578,43,3,115,2,253,0,0,297,562,410,0,0,10,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185
280060,Barra dos Coqueiros,30930,358,816,1754,11025,4305,10937,3184,604,0,0,436,882,1738,1,201,85,25,6,10,103,1532,575,0,0,0,115,18,3,713,0,506,198,1073,1307,441,94,28,1,0,503,0,0,386,869,1125,0,1,37,19,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
280067,Boquim,26899,476,1158,1852,9951,3896,9965,3350,717,9,0,571,1198,1795,0,0,68,24,3,8,130,1397,399,0,0,0,53,54,127,697,0,0,300,799,773,511,58,19,0,0,598,9,0,521,1182,743,0,0,22,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255
280070,Brejo Grande,8353,121,199,417,3478,1778,3000,556,153,0,0,154,200,444,0,681,14,0,3,11,3,451,240,0,0,0,0,0,0,135,0,0,0,160,181,152,9,2,0,0,139,0,0,151,192,60,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
280100,Campo do Brito,18218,408,774,1318,6588,2665,6446,2205,318,0,0,3,437,812,203,0,24,1214,3,64,574,329,0,0,52,0,0,31,0,650,0,16,539,589,240,2,10,161,0,0,241,0,0,0,430,778,0,0,16,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
280110,Canhoba,4006,72,156,232,1434,518,1284,453,96,0,0,103,175,354,0,0,8,4,0,0,13,150,75,0,0,0,17,4,0,142,0,0,0,114,22,0,6,1,0,0,78,0,0,98,169,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,8207,2805,7693,1900,571,0,0,343,816,1269,0,415,78,13,6,18,120,1341,399,0,0,0,60,19,47,529,19,0,79,676,691,0,142,42,0,0,358,0,0,333,769,393,0,0,37,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,13490,4893,11979,3024,829,0,0,564,1111,1816,0,590,54,18,4,9,34,1890,521,0,0,0,112,17,108,609,0,0,230,706,874,947,158,35,543,48,616,0,0,561,939,592,0,64,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
280140,Carira,22239,450,956,1559,7818,3162,7642,2776,367,0,0,511,968,1715,0,0,18,19,7,4,70,1526,375,0,0,0,26,0,93,433,0,0,4,519,587,342,38,15,0,0,287,0,0,489,968,1002,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
280150,Carmópolis,16937,117,294,770,4605,1311,4056,739,335,0,0,123,250,770,0,0,122,10,1,3,27,687,239,0,0,0,87,2,26,298,0,0,0,377,374,289,30,6,0,0,254,0,0,86,158,203,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,2402,939,2335,885,169,0,0,117,309,373,0,0,9,7,0,2,19,397,129,0,0,0,16,0,0,172,0,0,0,193,206,162,6,0,0,0,131,0,0,138,306,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
280170,Cristinápolis,18029,202,496,876,5527,2207,4721,1835,364,0,0,293,493,799,0,0,12,7,1,5,69,855,273,0,0,0,24,28,6,270,0,0,0,335,385,346,23,2,131,0,306,0,0,270,490,753,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280190,Cumbe,3998,94,198,262,1779,844,1654,528,83,0,0,98,199,250,0,191,8,0,1,0,34,136,70,0,0,0,7,10,13,120,0,0,2,152,143,129,8,0,0,0,77,0,0,96,198,146,0,0,8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,1688,600,1632,493,174,0,0,78,150,241,0,0,13,1,0,2,35,179,160,0,0,0,35,6,9,93,0,0,9,139,153,127,20,3,0,0,117,0,0,70,148,142,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
280210,Estância,69556,1093,2308,4544,25365,9708,24833,9142,2160,33,0,1289,2074,4145,1,261,300,28,72,220,106,4089,950,118,228,0,0,466,166,642,118,3,45,1257,1468,1895,39,19,521,0,1551,33,0,1267,1969,1913,0,206,59,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120
280220,Feira Nova,5601,100,217,383,1993,723,1708,584,85,0,0,108,210,347,0,0,8,2,1,4,40,222,116,0,0,0,15,0,52,131,0,0,8,159,162,18,19,1,0,0,78,0,0,107,208,182,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,6146,2105,5795,1742,241,0,0,307,596,1013,0,183,14,3,3,7,160,635,262,0,0,0,0,11,99,461,0,0,280,402,511,392,46,19,0,0,207,0,0,293,576,507,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
280240,Gararu,11601,203,448,701,4059,1528,3870,1217,154,4,0,257,520,736,0,0,15,6,0,0,9,246,229,0,0,0,0,12,6,419,0,0,50,450,419,321,17,0,0,0,132,4,0,248,508,307,0,0,10,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,1187,462,1115,376,125,0,0,53,106,211,0,0,26,2,1,1,59,153,77,0,0,0,34,0,4,84,0,0,0,110,60,0,5,4,0,0,98,0,0,50,106,117,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,2266,943,2189,807,132,0,0,172,286,479,0,0,14,5,0,4,77,445,103,0,0,0,24,3,10,139,0,0,1,168,93,0,29,5,0,0,104,0,0,172,284,238,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,3096,1282,2621,750,138,0,0,189,279,528,0,313,13,5,1,5,70,326,181,0,0,0,13,5,5,198,0,0,0,189,143,0,13,7,0,0,110,0,0,177,268,186,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,5199,1792,4767,1283,279,0,0,290,452,790,0,117,55,11,3,1,44,441,379,4,0,0,28,5,1,432,0,0,5,461,454,483,24,7,1,0,228,0,0,234,424,349,0,0,30,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,36015,12091,35703,11587,3211,246,0,1955,3433,6280,20,0,242,67,5,24,137,4701,1165,0,0,0,257,76,1959,2588,766,0,609,2535,1555,1124,282,49,0,0,1970,156,0,1703,3316,1858,0,0,120,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2417
280300,Itabaianinha,42166,630,1353,2494,14258,4471,12885,3769,827,0,0,697,1426,2258,0,0,68,20,4,5,288,2513,615,0,0,0,18,70,150,613,6,0,1088,712,618,719,136,34,0,0,555,0,0,627,1350,1203,0,0,9,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280310,Itabi,4886,115,264,446,2147,813,2018,681,132,0,0,105,286,409,0,0,8,4,1,1,65,286,119,0,0,0,0,2,9,157,0,0,2,162,184,53,19,4,0,0,92,0,0,106,280,186,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
280320,Itaporanga d'Ajuda,34709,482,1079,1790,11145,4176,9550,3231,717,0,0,477,1390,1784,0,0,60,18,5,20,186,2055,550,0,9,0,30,51,53,468,0,0,433,582,464,65,63,14,56,129,584,0,0,498,1174,939,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,6820,2790,6716,2140,348,0,0,298,706,1094,0,335,35,9,1,13,117,668,367,0,0,0,74,2,20,524,2,0,73,492,563,628,46,13,123,0,264,0,0,294,653,411,0,303,0,6,0,7,0,0,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,165
280340,Japoatã,13429,208,477,734,5029,2245,4670,1237,246,0,0,258,501,799,0,533,27,13,1,7,111,541,237,0,0,0,33,1,1,357,0,0,130,357,287,222,7,0,1,1,215,0,0,169,468,368,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,46508,17390,40983,13038,4322,48,0,2043,4181,6974,9,661,190,73,9,32,737,4430,1847,0,0,0,106,190,914,2801,226,0,427,3326,3581,2081,252,42,0,0,3115,46,0,1832,3814,2565,0,0,20,48,0,9,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1481
280360,Laranjeiras,30080,269,727,1448,13632,5995,11396,2557,620,0,0,295,717,1279,0,2029,105,24,2,8,78,1589,544,0,0,0,39,40,61,462,0,1,498,600,689,746,49,16,695,0,434,0,0,262,715,916,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
280370,Macambira,6961,178,337,535,2738,1055,2805,919,133,0,0,186,320,514,0,0,11,5,1,7,25,527,118,0,0,0,13,29,31,284,0,0,93,210,202,73,19,4,0,0,99,0,0,254,328,214,0,0,10,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,1291,597,1258,451,107,0,0,76,125,215,0,0,18,6,0,0,16,247,92,0,0,0,2,0,7,132,0,0,6,131,7,1,0,0,0,0,97,0,0,62,124,84,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
280390,Malhador,12653,203,468,914,4501,1546,4150,1147,185,0,0,222,497,843,0,0,13,10,1,6,74,461,270,0,0,0,32,69,187,335,4,0,0,410,413,78,29,11,0,0,138,0,0,220,453,310,0,0,10,10,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280400,Maruim,17271,179,453,898,5046,1811,4891,1341,304,0,0,242,534,1021,1,0,54,4,4,8,150,698,277,0,0,0,45,29,17,431,0,1,149,444,330,20,56,17,0,0,254,0,0,222,491,287,0,0,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
280410,Moita Bonita,11348,318,611,904,4781,2155,5063,1669,190,0,0,323,609,890,0,0,11,10,1,4,154,858,178,0,0,0,31,13,233,240,0,0,3,305,386,424,47,16,137,1,156,0,0,322,582,592,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,4509,1778,4027,1454,216,0,0,211,446,788,0,0,13,6,4,8,42,294,269,0,0,0,42,6,20,348,0,0,5,406,428,434,29,7,0,0,189,0,0,210,434,600,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
280430,Muribeca,7639,120,263,500,2719,1161,2505,853,159,0,0,131,286,517,0,0,13,3,0,9,3,551,146,0,0,0,12,10,22,136,0,0,35,196,195,53,25,3,0,0,99,0,0,129,281,330,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,7174,2706,5746,1948,445,0,0,409,692,1184,0,0,37,11,6,13,25,797,319,0,0,0,15,1,10,425,0,2,387,441,395,111,16,5,0,0,396,0,0,306,597,617,0,0,27,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,3748,1514,3776,1332,147,0,0,222,447,647,0,126,8,5,0,0,95,296,173,0,0,0,18,16,69,241,0,0,176,331,445,229,32,3,50,0,138,0,0,217,441,395,0,126,7,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,13751,4461,11886,4151,1004,20,0,692,1355,1971,0,0,70,10,5,13,346,1224,636,18,229,0,71,6,181,896,133,0,6,1464,804,0,110,26,0,0,782,19,0,654,1353,669,0,0,52,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596
280460,Nossa Senhora das Dores,26795,473,1011,1821,9656,3549,8858,2715,687,0,0,548,1060,1752,12,0,66,24,19,74,82,1536,494,0,0,0,171,15,159,594,0,0,334,643,560,6,15,7,0,0,525,0,0,504,942,699,0,0,30,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,2450,1011,2353,768,159,0,0,132,303,462,0,0,16,3,0,1,60,303,164,0,0,0,19,2,12,212,0,0,7,257,169,41,26,5,0,0,114,0,0,120,282,242,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,58460,17505,56915,15536,2791,36,0,1481,3880,8733,0,2,397,86,19,22,476,9495,2434,64,462,0,548,73,388,4393,0,0,1487,5365,5674,4153,285,64,1609,0,2022,36,0,1346,3559,5879,0,0,112,60,8,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2498
280490,Pacatuba,14540,230,455,822,4373,1559,4358,1346,232,0,0,229,461,803,0,0,8,12,4,9,216,1040,274,0,1,0,16,0,9,211,0,0,54,308,255,57,72,21,0,0,175,0,0,224,437,425,0,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
280500,Pedra Mole,3285,65,121,245,1208,439,1094,350,91,0,0,68,146,219,0,0,9,1,0,0,45,294,60,0,0,0,7,1,1,60,0,0,2,62,28,0,0,0,0,0,53,0,0,68,139,78,0,0,7,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280510,Pedrinhas,9665,156,335,604,3163,1213,3088,979,190,0,0,232,399,549,0,0,22,11,0,3,39,404,155,0,0,0,14,22,16,175,0,0,26,288,283,241,15,3,1,0,131,0,0,180,384,268,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280520,Pinhão,6627,134,336,524,2518,1051,2578,899,114,0,0,127,319,481,0,0,10,7,0,5,49,118,116,0,0,0,14,16,17,210,0,0,33,316,238,270,18,6,94,0,84,0,0,125,315,361,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280530,Pirambu,9359,130,267,522,3412,1356,3248,858,169,0,0,157,267,510,2,302,27,3,0,0,28,589,100,0,0,0,60,60,5,265,76,0,0,202,199,181,36,0,0,0,155,0,0,152,252,259,0,0,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10
280540,Poço Redondo,35122,399,1056,1672,9959,3946,9413,3315,492,0,0,535,1112,1389,0,327,48,19,18,22,64,2165,415,0,0,0,21,2,97,552,0,0,2,538,652,760,158,8,17,9,378,0,0,475,1156,1276,0,0,11,10,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280550,Poço Verde,23867,576,1241,1828,9781,4111,9673,3109,425,0,0,549,1120,1796,0,140,16,9,3,10,343,795,385,0,0,0,42,63,32,758,7,0,506,856,808,779,57,14,160,1,392,0,0,514,1121,1069,0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280560,Porto da Folha,28693,477,1002,1660,9911,4017,10187,3386,515,0,278,502,1061,1667,2,408,48,11,2,6,187,807,535,0,0,0,26,20,4,826,5,0,0,985,1023,864,120,19,1,0,402,0,276,494,1020,903,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265
280570,Propriá,29692,524,990,1914,11868,3903,11645,3205,1131,21,0,582,1004,1782,0,14,157,22,2,23,67,1831,489,0,0,0,51,20,96,738,209,0,582,853,874,872,62,8,0,0,946,21,0,518,965,531,0,0,58,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
