codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,502,202,460,189,63,0,0,41,94,89,0,153,20,0,0,54,0,0,26,83,26,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3174,1934,2814,1205,385,18,0,475,841,924,0,144,20,7,0,321,17,0,144,620,103,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,102670,53220,108319,35179,27253,249,0,11763,24707,41817,71,202,1958,288,11,17317,239,0,909,15116,1557,41,0,0,0,0
280040,Arauá,9947,149,348,644,1172,792,1101,705,162,0,0,211,436,280,0,0,3,9,0,162,0,0,111,432,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1971,1321,1706,1168,256,0,0,334,557,546,0,0,10,3,0,242,0,0,142,527,257,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3395,2115,3122,1407,557,0,0,423,861,1035,0,191,37,18,0,276,0,0,175,757,199,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,3816,2656,3481,2053,583,9,0,563,1183,1102,0,0,23,18,0,322,9,0,225,1118,379,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1758,438,1365,331,133,0,0,152,192,226,0,652,10,0,0,92,0,0,65,173,1,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2465,1895,2354,1552,240,0,0,439,784,863,0,0,10,18,0,235,0,0,429,692,196,0,0,0,0,0
280110,Canhoba,4006,72,156,232,498,338,413,243,79,0,0,97,169,58,0,0,10,0,0,73,0,0,42,128,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2765,1675,2607,1586,403,0,0,340,786,649,0,392,27,10,0,347,0,0,325,724,190,0,0,0,0,0
280130,Capela,34514,564,1121,2006,4643,2023,4028,1559,651,0,0,636,1083,1036,0,582,25,15,0,412,0,0,241,829,77,0,0,0,0,0
280140,Carira,22239,450,956,1559,2872,2212,2385,1388,244,0,0,508,930,682,0,0,12,9,0,234,0,0,454,689,11,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1291,831,1221,632,281,0,0,140,324,431,0,0,33,12,0,254,0,0,46,139,193,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,908,617,915,567,132,0,0,117,307,345,0,0,9,5,0,130,0,0,52,283,102,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1817,1317,1737,914,299,0,0,383,470,568,0,0,11,6,0,296,0,0,146,402,70,0,0,0,0,0
280190,Cumbe,3998,94,198,262,844,414,745,400,70,0,0,97,201,199,0,170,8,0,0,70,0,0,38,197,95,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,588,398,575,386,126,0,0,79,147,210,0,0,12,1,0,116,0,0,32,145,93,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,9538,4528,8950,3317,1637,33,0,1161,2316,3359,0,261,153,30,0,784,33,0,1103,1397,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,693,513,627,325,74,0,0,100,232,212,0,0,8,1,0,70,0,0,98,157,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,2075,1455,2071,1368,212,0,0,305,588,774,0,180,9,3,0,205,0,0,284,554,325,0,0,0,0,0
280240,Gararu,11601,203,448,701,1343,1033,1242,686,140,4,0,257,510,316,0,0,10,5,0,122,4,0,239,298,23,0,0,0,0,0
280250,General Maynard,3384,47,109,207,433,293,453,279,101,0,0,53,106,185,0,0,6,2,0,94,0,0,20,106,59,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,913,683,887,623,108,0,0,166,282,320,0,0,6,5,0,79,0,0,162,264,118,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1282,592,1134,465,120,0,0,186,268,245,0,306,6,3,0,107,0,0,77,233,48,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,1712,1042,1466,748,229,0,0,280,388,413,0,116,31,9,0,196,0,0,107,339,106,0,0,0,0,0
