codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo
280010,Amparo de São Francisco,2380,51,89,140,710,262,659,213,63,0,0,42,97,137,0,182,26,0,0,0,0,94,18,0,0,0,0,0,57,0,0,26,84,37,0,0,9,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,5028,2664,4156,2106,423,18,0,481,858,1364,0,159,24,13,4,8,15,415,374,0,0,0,0,0,381,17,0,164,786,740,0,0,15,3,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,161649,93770,156480,53799,35451,349,0,11846,25103,46153,73,202,4116,367,0,0,93,29078,1259,270,626,193,815,486,21297,339,0,3000,14796,13461,43,50,599,214,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2060,1042,1919,964,165,0,0,211,466,641,0,0,12,9,1,0,82,287,45,0,0,0,0,0,162,0,0,111,463,220,0,0,0,8,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,3313,1701,2989,1367,269,0,0,336,576,996,0,0,61,8,0,1,74,545,123,0,0,0,0,0,253,0,0,147,556,398,0,0,10,3,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,5743,3605,5455,2649,865,0,0,427,879,1657,0,201,70,23,5,4,37,1151,136,0,0,0,0,0,461,0,0,195,855,1082,0,1,37,18,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,6109,3436,5123,2715,647,9,0,564,1197,1735,0,0,34,23,1,4,46,798,65,0,0,0,0,0,539,9,0,230,1177,722,0,0,22,16,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2316,628,2280,453,143,0,0,154,199,429,0,674,14,123,0,1,0,431,112,0,0,0,0,0,130,0,0,68,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,3920,2205,3358,2021,278,0,0,437,804,1171,0,0,11,21,3,3,100,473,57,0,0,0,0,0,240,0,0,428,764,560,0,0,9,20,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,857,458,821,362,88,0,0,100,176,350,0,0,8,2,0,0,3,70,24,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,4491,1975,4456,1887,473,0,0,343,810,1229,0,404,68,13,5,14,55,939,103,0,0,0,0,0,356,0,0,333,769,386,0,0,35,8,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,7056,3463,6704,2071,752,0,0,572,1102,1764,0,587,44,17,4,5,36,1677,144,0,0,0,0,0,605,0,0,243,862,313,0,0,34,14,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,4614,2622,4813,2540,312,0,0,509,961,1676,0,0,17,17,0,0,44,1201,76,0,0,0,0,0,271,0,0,488,954,818,0,0,2,7,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,2381,1081,2333,695,386,0,0,144,328,744,0,0,89,10,1,1,15,525,90,0,0,0,0,0,256,0,0,47,157,197,0,0,31,7,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1443,807,1347,747,151,0,0,117,308,368,0,0,9,7,0,1,8,315,63,0,0,0,0,0,131,0,0,52,305,248,0,0,7,4,0,0,0,0,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,3057,1717,2680,1389,314,0,0,293,490,773,0,0,12,6,1,2,42,713,34,0,0,0,0,0,301,0,0,153,445,480,0,0,7,3,0,0,0,0,0,0,0,0,0
280190,Cumbe,3998,94,198,262,1167,534,1003,457,75,0,0,98,198,246,0,188,8,0,0,0,25,109,56,0,0,0,0,0,70,0,0,39,196,144,0,0,8,0,0,0,0,0,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,1034,508,876,441,136,0,0,78,150,239,0,0,13,1,0,2,31,146,80,0,0,0,0,0,116,0,0,32,146,137,0,0,9,1,0,0,0,0,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,15085,8098,13878,5103,2043,33,0,1280,2405,4129,0,261,292,26,34,93,64,2893,325,0,0,0,0,0,1433,33,0,1136,1709,506,0,203,59,24,0,0,0,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,1147,623,944,474,77,0,0,101,233,305,0,0,8,1,0,1,30,162,26,0,0,0,0,0,78,0,0,99,201,88,0,0,7,1,0,0,0,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,3249,1675,3187,1582,236,0,0,307,595,984,0,183,14,3,3,7,141,515,199,0,0,0,0,0,207,0,0,293,574,499,0,0,9,0,0,0,0,0,0,0,0,0,0
280240,Gararu,11601,203,448,701,2310,1253,1871,1101,145,4,0,257,516,700,0,0,15,6,0,0,3,136,89,0,0,0,0,0,132,4,0,245,496,214,0,0,6,4,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,707,565,679,330,108,0,0,52,106,209,0,0,26,2,0,0,54,122,0,0,0,0,0,0,98,0,0,21,106,103,0,0,2,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1411,823,1297,771,118,0,0,166,282,469,0,0,13,5,0,0,30,214,0,0,0,0,0,0,94,0,0,166,274,230,0,0,3,4,0,0,0,0,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1883,792,1748,651,133,0,0,187,277,509,0,313,13,5,1,3,38,237,32,0,0,0,0,0,110,0,0,83,266,184,0,0,6,2,0,0,0,0,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,2828,1452,2272,1100,242,0,0,281,449,745,0,117,52,10,0,0,0,213,163,0,0,0,0,0,227,0,0,114,397,324,0,0,30,8,0,0,0,0,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,19877,9951,20076,7608,2996,227,0,1951,3413,6141,0,0,239,66,4,15,116,3748,1160,0,0,0,0,0,1912,156,0,1679,2878,822,0,0,117,44,0,0,0,0,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,7561,3851,7715,3208,788,0,0,693,1414,2179,0,0,67,20,4,5,172,2157,216,0,0,0,0,0,517,0,0,257,1233,1177,0,0,9,15,0,0,0,0,0,0,0,0,0
280310,Itabi,4886,115,264,446,1322,703,1163,665,104,0,0,105,283,394,0,0,6,4,0,0,34,209,24,0,0,0,0,0,91,0,0,104,280,183,0,0,3,4,0,0,0,0,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,6101,3416,5883,2943,645,0,0,464,1383,1753,0,0,52,18,5,10,79,1335,139,0,0,0,0,0,574,0,0,237,1166,931,0,0,18,17,0,0,0,0,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,4323,2250,3613,1960,299,0,0,298,704,1073,0,317,35,9,1,13,90,548,226,0,0,0,0,0,264,0,0,294,651,409,0,301,35,6,0,0,0,0,0,0,0,0,0
280340,Japoatã,13429,208,477,734,3156,1395,2633,1130,219,0,0,257,499,771,0,524,27,13,0,0,26,261,36,0,0,0,0,0,209,0,0,86,466,352,0,0,4,13,0,0,0,0,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,25658,12640,22269,9723,3847,48,0,2028,4156,6768,0,661,179,67,8,16,420,3545,526,0,0,0,0,0,2928,46,0,842,3565,2282,0,0,18,42,0,0,0,0,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,7686,2335,6849,1863,579,0,0,295,713,1242,0,1992,101,23,2,8,53,1357,484,0,0,0,0,0,428,0,0,112,686,625,0,0,3,9,0,0,0,0,0,0,0,0,0
280370,Macambira,6961,178,337,535,1630,925,1491,783,106,0,0,185,318,504,0,0,11,5,1,5,14,331,11,0,0,0,0,0,99,0,0,145,328,199,0,0,10,2,0,0,0,0,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,696,397,745,287,104,0,0,75,124,203,0,0,18,6,0,0,5,165,45,0,0,0,0,0,97,0,0,51,98,29,0,0,8,4,0,0,0,0,0,0,0,0,0
280390,Malhador,12653,203,468,914,2525,1251,2270,1145,154,0,0,222,493,819,0,0,11,10,1,0,54,377,129,0,0,0,0,0,135,0,0,220,451,320,0,0,9,10,0,0,0,0,0,0,0,0,0
280400,Maruim,17271,179,453,898,2823,1481,2891,1270,275,0,0,242,531,993,0,0,50,4,1,5,124,626,40,0,0,0,0,0,253,0,0,222,489,284,0,0,18,4,0,0,0,0,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,2813,1705,2761,1625,137,0,0,322,607,885,0,0,11,10,1,4,122,662,0,0,0,0,0,0,131,0,0,321,582,575,0,0,8,8,0,0,0,0,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,2504,1434,1861,1361,204,0,0,211,437,757,0,0,11,5,4,8,10,184,30,0,0,0,0,0,185,0,0,207,417,552,0,0,0,0,0,0,0,0,0,0,0,0,0
280430,Muribeca,7639,120,263,500,1491,751,1506,591,119,0,0,126,283,493,0,0,13,3,0,1,1,439,28,0,0,0,0,0,99,0,0,113,250,116,0,0,12,1,0,0,0,0,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,4044,2136,3108,1649,425,0,0,408,682,1127,0,0,35,10,0,0,6,403,12,0,0,0,0,0,392,0,0,138,553,538,0,0,26,2,0,0,0,0,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,2124,1310,2061,1298,144,0,0,221,445,643,0,126,8,5,0,2,73,250,144,0,0,0,0,0,138,0,0,217,441,365,0,126,6,5,0,0,0,0,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,7164,3681,6044,2841,850,20,0,689,1340,1843,0,0,70,10,2,7,245,859,109,0,0,0,0,0,738,19,0,648,1203,189,0,0,40,4,0,0,0,0,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,5529,3079,4924,2649,619,0,0,544,1051,1694,0,0,63,23,5,28,34,840,23,0,0,0,0,0,520,0,0,471,925,691,0,0,30,12,0,0,0,0,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,1463,788,1332,628,125,0,0,132,303,456,0,0,14,3,0,0,38,231,30,0,0,0,0,0,110,0,0,80,266,172,0,0,0,0,0,0,0,0,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,30680,15885,25891,12664,2560,36,0,1473,3843,8506,0,2,452,79,9,11,272,7779,869,0,0,0,0,0,1749,36,0,1329,3622,5760,0,0,111,57,0,0,0,0,0,0,0,0,0
280490,Pacatuba,14540,230,455,822,2514,1329,2579,1106,191,0,0,229,455,786,0,0,8,12,4,9,96,736,53,0,0,0,0,0,171,0,0,73,433,410,0,0,8,11,0,0,0,0,0,0,0,0,0
280500,Pedra Mole,3285,65,121,245,716,379,709,356,67,0,0,68,146,215,0,0,7,1,0,0,41,152,12,0,0,0,0,0,65,0,0,68,139,78,0,0,5,1,0,0,0,0,0,0,0,0,0
280510,Pedrinhas,9665,156,335,604,1789,943,1564,834,153,0,0,188,398,539,0,0,11,9,0,0,0,247,19,0,0,0,0,0,131,0,0,60,373,254,0,0,9,7,0,0,0,0,0,0,0,0,0
