codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6
280010,Amparo de São Francisco,2380,51,89,140,202,92,144,50,56,0,0,41,47,0,45,0,0,5,0,0
280020,Aquidabã,21681,481,932,1543,1864,664,1364,367,299,18,0,449,598,0,272,17,0,78,0,0
280030,Aracaju,664908,10149,24138,47854,67240,19280,49540,13338,20556,249,0,11369,17366,0,13099,239,0,0,0,0
280040,Arauá,9947,149,348,644,722,332,580,182,152,0,0,204,224,0,142,0,0,40,0,0
280050,Areia Branca,18686,281,548,1047,1221,491,932,271,239,0,0,317,376,0,228,0,0,43,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,1915,565,1602,286,513,0,0,392,697,0,228,0,0,58,0,0
280067,Boquim,26899,476,1158,1852,2486,756,1999,374,558,9,0,552,880,0,265,9,0,100,0,0
280070,Brejo Grande,8353,121,199,417,418,148,317,93,108,0,0,141,68,0,69,0,0,24,0,0
280100,Campo do Brito,18218,408,774,1318,1545,825,1295,501,236,0,0,415,644,0,226,0,0,275,0,0
280110,Canhoba,4006,72,156,232,318,118,212,65,64,0,0,89,59,0,52,0,0,13,0,0
280120,Canindé de São Francisco,30402,278,703,1214,1365,695,1150,400,334,0,0,325,491,0,223,0,0,177,0,0
280130,Capela,34514,564,1121,2006,2413,803,1486,391,576,0,0,615,295,0,272,0,0,119,0,0
280140,Carira,22239,450,956,1559,1762,862,968,293,233,0,0,449,286,0,208,0,0,83,2,0
280150,Carmópolis,16937,117,294,770,761,401,715,276,271,0,0,165,279,0,235,0,0,41,0,0
280160,Cedro de São João,5913,140,291,399,588,218,505,129,128,0,0,132,245,0,115,0,0,14,0,0
280170,Cristinápolis,18029,202,496,876,1247,627,780,417,295,0,0,285,200,0,285,0,0,132,0,0
280190,Cumbe,3998,94,198,262,404,154,353,158,69,0,0,94,190,0,64,0,0,13,81,0
280200,Divina Pastora,5215,69,155,317,364,184,310,119,113,0,0,77,120,0,98,0,0,21,0,0
280210,Estância,69556,1093,2308,4544,5108,1498,4384,973,1337,33,0,1152,1862,0,751,33,0,189,0,0
280220,Feira Nova,5601,100,217,383,403,203,278,106,68,0,0,90,120,0,63,0,0,43,0,0
280230,Frei Paulo,15556,294,608,994,1195,565,794,364,198,0,0,280,316,0,148,0,0,215,1,0
280240,Gararu,11601,203,448,701,823,403,550,176,132,0,0,251,167,0,96,0,0,80,0,0
280250,General Maynard,3384,47,109,207,263,133,187,98,88,0,0,52,47,0,85,0,0,13,0,0
280260,Gracho Cardoso,5824,150,281,469,563,303,324,101,83,0,0,164,77,0,72,0,0,29,0,0
280270,Ilha das Flores,8521,170,275,452,572,192,371,119,87,0,0,178,106,0,86,0,0,33,0,0
