codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose1_grupo11,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10,aplicadas_dose2_grupo11
280010,Amparo de São Francisco,2380,51,89,140,502,202,419,189,63,0,0,41,94,53,0,153,15,0,0,54,0,0,26,83,26,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,3174,1934,2814,1205,385,18,0,475,841,924,0,144,20,7,0,321,17,0,144,620,103,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,102670,53220,108051,35118,27101,249,0,11763,24707,41773,71,202,1829,345,11,17317,239,0,817,15147,1557,41,0,0,0,0
280040,Arauá,9947,149,348,644,1172,792,1101,705,162,0,0,211,436,280,0,0,3,9,0,162,0,0,111,432,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1971,1321,1644,911,256,0,0,331,555,490,0,0,10,2,0,242,0,0,141,508,20,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,3395,2115,3122,1407,557,0,0,423,861,1035,0,191,37,18,0,276,0,0,175,757,199,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,3816,2656,3441,2026,583,9,0,562,1183,1064,0,0,22,18,0,322,9,0,225,1109,361,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1758,438,1365,331,133,0,0,152,192,226,0,652,10,0,0,92,0,0,65,173,1,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2465,1895,2354,1552,240,0,0,439,784,863,0,0,10,18,0,235,0,0,429,692,196,0,0,0,0,0
280110,Canhoba,4006,72,156,232,498,338,413,243,79,0,0,97,169,58,0,0,10,0,0,73,0,0,42,128,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2765,1675,2516,1447,402,0,0,339,778,588,0,372,27,10,0,343,0,0,326,647,131,0,0,0,0,0
280130,Capela,34514,564,1121,2006,4643,2023,3986,2141,649,0,0,636,1083,992,0,582,29,15,0,412,0,0,241,829,659,0,0,0,0,0
280140,Carira,22239,450,956,1559,2872,2212,2385,1388,244,0,0,508,930,682,0,0,12,9,0,234,0,0,454,689,11,0,0,0,0,0
