codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10
280010,Amparo de São Francisco,2380,51,89,140,452,172,298,92,63,0,0,41,94,35,0,65,0,0,49,0,0,26,17,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2764,1514,2534,855,382,18,0,473,834,672,0,144,11,0,298,17,0,139,401,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,90860,53660,96813,24618,25105,249,0,11652,24408,33602,65,202,1420,110,15608,239,0,775,7996,0,0,0,0,0
280040,Arauá,9947,149,348,644,1002,642,1029,302,155,0,0,211,432,226,0,0,0,5,152,0,0,111,39,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1701,1041,1536,632,254,0,0,330,549,391,0,0,10,2,239,0,0,134,259,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2915,1685,2776,758,542,0,0,418,860,729,0,189,34,4,262,0,0,152,344,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,3356,2156,3049,948,578,9,0,562,1171,708,0,0,13,8,312,9,0,208,419,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1648,338,1002,229,117,0,0,150,177,82,0,474,2,0,84,0,0,63,82,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2125,1545,2035,1032,240,0,0,439,782,547,0,0,10,17,231,0,0,386,415,0,0,0,0,0
280110,Canhoba,4006,72,156,232,438,268,411,120,77,0,0,97,165,52,0,0,10,10,63,0,0,35,22,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2425,1365,2203,946,358,0,0,336,761,385,0,336,27,0,284,0,0,318,344,0,0,0,0,0
280130,Capela,34514,564,1121,2006,4093,2023,3791,801,641,0,0,633,1073,827,0,581,22,14,373,0,0,228,200,0,0,0,0,0
280140,Carira,22239,450,956,1559,2522,1762,2078,880,244,0,0,506,918,410,0,0,0,0,231,0,0,439,210,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1041,661,1010,467,278,0,0,139,323,265,0,0,0,5,252,0,0,47,168,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,808,497,804,299,130,0,0,131,285,246,0,0,7,5,127,0,0,51,121,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1637,1117,1532,544,296,0,0,292,455,479,0,0,8,2,296,0,0,140,108,0,0,0,0,0
280190,Cumbe,3998,94,198,262,774,344,669,189,70,0,0,95,198,134,0,170,2,0,68,0,0,35,86,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,488,328,491,234,118,0,0,78,147,147,0,0,0,1,111,0,0,32,91,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,8122,4488,7788,2028,1637,33,0,1161,2224,2489,0,222,0,22,691,33,0,603,701,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,603,403,563,229,74,0,0,100,232,150,0,0,6,1,68,0,0,86,75,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,1825,1195,1808,979,207,0,0,305,576,531,0,180,9,0,200,0,0,281,498,0,0,0,0,0
280240,Gararu,11601,203,448,701,1183,823,1115,433,140,0,0,257,508,210,0,0,0,0,115,0,0,233,85,0,0,0,0,0
280250,General Maynard,3384,47,109,207,363,233,374,155,98,0,0,53,106,117,0,0,0,0,88,0,0,19,48,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,793,553,718,325,104,0,0,165,277,172,0,0,0,0,73,0,0,158,94,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1162,472,1000,225,117,0,0,186,261,162,0,272,1,1,87,0,0,66,72,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,1502,812,1345,383,222,0,0,278,439,285,0,111,10,0,179,0,0,94,110,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,10407,7617,10021,3743,2031,148,0,1908,3307,2510,0,0,68,49,1100,148,0,1595,900,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,3651,2331,3562,985,554,0,0,669,1193,1127,0,0,10,9,290,0,0,227,468,0,0,0,0,0
280310,Itabi,4886,115,264,446,703,493,624,304,91,0,0,103,269,161,0,0,0,0,84,0,0,102,118,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,3026,1936,2765,874,513,0,0,458,1200,594,0,0,0,0,464,0,0,209,201,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,2480,1360,1902,690,262,0,0,340,680,305,0,315,0,0,249,0,0,252,189,0,0,0,0,0
280340,Japoatã,13429,208,477,734,1995,815,1751,318,207,0,0,256,492,300,0,495,0,1,164,0,0,63,91,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,14670,8890,13047,3214,3326,48,0,2003,4028,2981,0,587,51,23,1541,45,0,728,900,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,5295,1445,4023,651,442,0,0,294,703,984,0,1580,3,17,397,0,0,101,153,0,0,0,0,0
280370,Macambira,6961,178,337,535,905,635,947,340,89,0,0,189,448,213,0,0,7,1,70,0,0,125,145,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,377,257,291,141,98,0,0,70,90,33,0,0,0,0,84,0,0,49,8,0,0,0,0,0
280390,Malhador,12653,203,468,914,1231,831,1183,506,136,0,0,220,484,325,0,0,9,9,135,0,0,214,157,0,0,0,0,0
280400,Maruim,17271,179,453,898,1371,981,1408,596,254,0,0,255,523,369,0,0,6,1,239,0,0,145,212,0,0,0,0,0
280410,Moita Bonita,11348,318,611,904,1585,1145,1399,554,130,0,0,320,588,361,0,0,0,0,127,0,0,314,113,0,0,0,0,0
280420,Monte Alegre de Sergipe,15175,183,452,806,1248,864,1223,571,184,0,0,212,378,446,0,0,3,0,151,0,0,201,219,0,0,0,0,0
280430,Muribeca,7639,120,263,500,751,451,819,256,99,0,0,124,278,304,0,0,13,1,97,0,0,53,106,0,0,0,0,0
280440,Neópolis,18703,361,698,1274,2116,1316,1795,367,379,0,0,342,632,442,0,0,0,0,261,0,0,58,48,0,0,0,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,1270,810,1280,459,138,0,0,217,446,382,0,90,3,4,130,0,0,213,116,0,0,0,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,3591,2581,3518,1444,776,20,0,683,1301,705,0,0,30,3,455,19,0,578,392,0,0,0,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,2899,2089,2554,1161,456,0,0,590,806,682,0,0,10,10,401,0,0,589,171,0,0,0,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,768,478,691,290,114,0,0,157,284,134,0,0,0,2,107,0,0,72,111,0,0,0,0,0
280480,Nossa Senhora do Socorro,185706,1310,4085,10283,12945,8785,13117,4550,2195,36,0,1459,3719,5631,0,0,50,27,1061,36,0,1244,2209,0,0,0,0,0
