codigo_municipio,municipio,populacao_total,populacao_grupo4_80mais,populacao_grupo5_7079,populacao_grupo6_6069,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1_saude,aplicadas_dose1_grupo2_institucionalizados,aplicadas_dose1_grupo3_indigenasaldeados,aplicadas_dose1_grupo4_80mais,aplicadas_dose1_grupo5_7079,aplicadas_dose1_grupo6_6069,aplicadas_dose1_grupo7_situacaoderua,aplicadas_dose1_grupo8_quilombolas,aplicadas_dose1_grupo9_seguranca,aplicadas_dose1_grupo10_downautismo,aplicadas_dose1_grupo12_puerperascomorbidade,aplicadas_dose1_grupo13_gestantecomorbidade,aplicadas_dose1_grupo14_deficiente,aplicadas_dose1_grupo15_comorbidade,aplicadas_dose1_grupo16_educacao,aplicadas_dose1_grupo17_sistemaprisional,aplicadas_dose1_grupo18_privadosliberdade,aplicadas_dose1_grupo19_transporteaereo,aplicadas_dose1_grupo20_limpezaurbana,aplicadas_dose1_grupo21_transportecoletivo,aplicadas_dose1_grupo22_caminhoneiros,aplicadas_dose1_grupo23_5559,aplicadas_dose1_grupo24_educacaosuperior,aplicadas_dose1_grupo25_zonaportuaria,aplicadas_dose1_grupo26_industriaiscivil,aplicadas_dose1_grupo27_5054,aplicadas_dose1_grupo28_4549,aplicadas_dose2_grupo1_saude,aplicadas_dose2_grupo2_institucionalizados,aplicadas_dose2_grupo3_indigenasaldeados,aplicadas_dose2_grupo4_80mais,aplicadas_dose2_grupo5_7079,aplicadas_dose2_grupo6_6069,aplicadas_dose2_grupo7_situacaoderua,aplicadas_dose2_grupo8_quilombolas,aplicadas_dose2_grupo9_seguranca,aplicadas_dose2_grupo10_downautismo,aplicadas_dose2_grupo12_puerperascomorbidade,aplicadas_dose2_grupo13_gestantecomorbidade,aplicadas_dose2_grupo14_deficiente,aplicadas_dose2_grupo15_comorbidade,aplicadas_dose2_grupo16_educacao,aplicadas_dose2_grupo17_sistemaprisional,aplicadas_dose2_grupo18_privadosliberdade,aplicadas_dose2_grupo19_transporteaereo,aplicadas_dose2_grupo20_limpezaurbana,aplicadas_dose2_grupo21_transportecoletivo,aplicadas_dose2_grupo22_caminhoneiros,aplicadas_dose2_grupo23_5559,aplicadas_dose2_grupo24_educacaosuperior,aplicadas_dose2_grupo25_zonaportuaria,aplicadas_dose2_grupo26_industriaiscivil,aplicadas_dose2_grupo27_5054,aplicadas_dose2_grupo28_4549
280010,Amparo de São Francisco,2380,51,89,140,950,306,824,238,65,0,0,42,97,139,0,182,27,0,0,0,16,158,42,1,0,0,17,0,0,23,0,0,1,12,2,63,0,0,40,84,39,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,6808,2964,5245,2333,451,18,0,481,858,1384,0,159,24,13,6,9,28,535,757,0,0,0,37,41,46,246,0,0,90,62,0,381,17,0,350,807,760,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,233969,93970,184057,59516,36134,349,0,11895,25144,46506,104,202,4517,373,0,0,4,34752,5745,280,628,441,817,1164,0,15002,0,0,0,0,0,21853,339,0,7284,16147,13521,41,50,63,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280040,Arauá,9947,149,348,644,2715,1082,2248,1066,166,0,0,211,466,641,0,0,12,9,1,0,104,340,190,0,0,0,12,10,26,60,0,0,0,0,0,162,0,0,200,466,229,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,5400,1701,4795,1509,271,0,0,337,576,1014,0,0,61,8,0,1,116,640,241,171,491,0,24,5,35,335,0,0,0,469,0,253,0,0,281,560,402,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,8368,3605,6791,2849,591,0,0,427,881,1680,0,201,70,24,5,4,103,1355,517,0,0,0,112,0,0,208,0,415,198,0,0,488,0,0,338,864,1106,0,1,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,7876,3436,6637,3038,671,9,0,566,1198,1769,0,0,55,23,2,8,101,1274,369,0,0,0,50,49,96,244,0,0,153,0,0,573,9,0,508,1180,730,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,2833,628,2258,525,147,0,0,154,199,434,0,674,14,0,0,4,2,444,159,0,0,0,0,0,0,27,0,0,0,0,0,131,0,0,139,190,60,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,5336,2325,4642,2035,294,0,0,437,806,1204,0,0,12,22,3,3,148,547,318,0,0,0,29,49,143,450,0,0,0,177,0,240,0,0,429,776,560,0,0,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280110,Canhoba,4006,72,156,232,1140,458,904,362,91,0,0,100,176,352,0,0,8,2,0,0,6,92,68,0,0,0,0,1,0,8,0,0,0,0,0,78,0,0,59,157,60,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,6121,1975,6046,1896,495,0,0,343,816,1247,0,412,75,13,5,14,107,1292,384,0,0,0,58,19,34,373,19,0,28,310,2,358,0,0,333,769,391,0,0,37,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280130,Capela,34514,564,1121,2006,9706,3563,8277,2349,779,0,0,562,1111,1780,0,587,48,18,4,5,56,1792,466,0,0,0,108,15,67,319,0,0,44,301,215,608,0,0,523,846,323,0,0,35,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280140,Carira,22239,450,956,1559,6230,2812,6222,2702,327,0,0,510,967,1696,0,0,17,19,0,0,66,1465,359,0,0,0,21,0,72,292,0,0,0,252,159,280,0,0,489,959,949,0,0,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,3300,1081,2803,735,330,0,0,122,328,759,0,0,122,10,1,1,25,657,234,0,0,0,87,2,25,99,0,0,0,1,0,254,0,0,86,154,203,0,0,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,1949,839,1605,836,154,0,0,117,309,369,0,0,9,7,0,1,12,374,125,0,0,0,14,0,0,111,0,0,0,3,0,131,0,0,138,306,249,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,4270,2037,3075,1649,341,0,0,293,492,779,0,0,12,6,1,2,55,794,196,0,0,0,19,21,3,61,0,0,0,0,0,306,0,0,205,468,658,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280190,Cumbe,3998,94,198,262,1473,534,1258,512,83,0,0,98,199,249,0,189,8,0,1,0,33,130,67,0,0,0,6,9,10,96,0,0,0,80,0,70,0,0,91,198,145,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,1390,500,1236,477,140,0,0,78,150,241,0,0,13,1,0,2,34,166,159,0,0,0,33,6,8,88,0,0,0,117,0,116,0,0,68,146,137,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,21375,8448,17110,5581,2124,33,0,1280,2062,4144,1,261,292,28,34,93,101,3867,928,118,228,0,0,459,108,434,112,3,45,355,0,1449,33,0,1218,1795,797,0,206,59,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,1578,623,1284,562,83,0,0,108,210,341,0,0,8,2,0,1,38,207,106,0,0,0,15,0,42,113,0,0,3,7,0,78,0,0,107,208,160,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,4476,1675,4566,1582,241,0,0,307,595,1009,0,183,14,3,3,7,155,617,260,0,0,0,61,11,95,420,0,0,211,307,67,207,0,0,293,574,499,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280240,Gararu,11601,203,448,701,3156,1368,2194,1191,148,4,0,257,517,703,0,0,15,6,0,0,7,190,210,0,0,0,11,3,0,95,0,0,22,6,0,132,4,0,248,505,286,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280250,General Maynard,3384,47,109,207,947,391,938,376,111,0,0,52,106,210,0,0,26,2,0,0,59,150,76,0,0,0,33,0,0,80,0,0,0,33,0,98,0,0,50,106,117,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,1877,823,1780,793,126,0,0,172,286,475,0,0,14,5,0,3,69,435,92,0,0,0,22,3,6,69,0,0,0,3,0,95,0,0,172,281,236,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,2505,792,2037,727,135,0,0,188,277,513,0,313,13,5,1,3,54,289,147,0,0,0,0,5,3,91,0,0,0,0,0,110,0,0,157,266,185,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,3958,1452,2868,1215,256,0,0,286,450,764,0,117,52,10,0,0,0,325,364,3,0,0,28,1,1,209,0,0,0,2,0,227,0,0,194,418,338,0,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,27982,9951,27542,7638,3069,227,0,1954,3426,6252,20,0,239,66,5,19,133,4549,1123,0,0,0,247,72,1887,2313,751,0,0,1190,0,1927,156,0,1681,2881,830,0,0,118,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
