codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose1_grupo7,aplicadas_dose1_grupo8,aplicadas_dose1_grupo9,aplicadas_dose1_grupo10,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6,aplicadas_dose2_grupo7,aplicadas_dose2_grupo8,aplicadas_dose2_grupo9,aplicadas_dose2_grupo10
280010,Amparo de São Francisco,2380,51,89,140,452,172,298,92,63,0,0,41,94,35,0,65,0,0,49,0,0,26,17,0,0,0,0,0
280020,Aquidabã,21681,481,932,1543,2764,1514,2632,948,384,18,0,474,836,757,0,144,16,3,298,17,0,142,491,0,0,0,0,0
280030,Aracaju,664908,10149,24138,47854,90860,53660,99145,26202,25403,249,0,11675,24408,35475,65,202,1481,187,16011,239,0,783,9169,0,0,0,0,0
280040,Arauá,9947,149,348,644,1002,642,1059,447,162,0,0,211,436,241,0,0,0,9,162,0,0,111,174,0,0,0,0,0
280050,Areia Branca,18686,281,548,1047,1701,1041,1542,656,254,0,0,330,549,397,0,0,10,2,239,0,0,134,283,0,0,0,0,0
280060,Barra dos Coqueiros,30930,358,816,1754,2915,1685,2809,1029,544,0,0,418,863,747,0,189,34,14,365,0,0,157,507,0,0,0,0,0
280067,Boquim,26899,476,1158,1852,3356,2156,3049,948,578,9,0,562,1171,708,0,0,13,8,312,9,0,208,419,0,0,0,0,0
280070,Brejo Grande,8353,121,199,417,1648,338,1078,252,126,0,0,151,181,113,0,505,2,0,90,0,0,63,99,0,0,0,0,0
280100,Campo do Brito,18218,408,774,1318,2125,1545,2047,1248,240,0,0,439,782,558,0,0,10,18,231,0,0,386,631,0,0,0,0,0
280110,Canhoba,4006,72,156,232,438,268,412,161,77,0,0,97,166,52,0,0,10,10,63,0,0,35,63,0,0,0,0,0
280120,Canindé de São Francisco,30402,278,703,1214,2425,1365,2205,1079,358,0,0,336,761,385,0,336,27,2,317,0,0,321,441,0,0,0,0,0
280130,Capela,34514,564,1121,2006,4093,2023,3794,898,641,0,0,633,1073,829,0,581,23,14,379,0,0,230,289,0,0,0,0,0
280140,Carira,22239,450,956,1559,2522,1762,2146,924,244,0,0,506,919,473,0,0,0,4,231,0,0,445,248,0,0,0,0,0
280150,Carmópolis,16937,117,294,770,1041,661,1010,467,278,0,0,139,323,265,0,0,0,5,252,0,0,47,168,0,0,0,0,0
280160,Cedro de São João,5913,140,291,399,808,497,804,299,130,0,0,131,285,246,0,0,7,5,127,0,0,51,121,0,0,0,0,0
280170,Cristinápolis,18029,202,496,876,1637,1117,1552,662,297,0,0,292,456,495,0,0,10,2,296,0,0,141,225,0,0,0,0,0
280190,Cumbe,3998,94,198,262,774,344,673,290,70,0,0,95,198,134,0,170,6,0,69,0,0,35,186,0,0,0,0,0
280200,Divina Pastora,5215,69,155,317,488,328,493,272,118,0,0,78,147,149,0,0,0,1,112,0,0,32,128,0,0,0,0,0
280210,Estância,69556,1093,2308,4544,8122,4488,7801,2702,1637,33,0,1161,2224,2499,0,222,0,25,699,33,0,1103,867,0,0,0,0,0
280220,Feira Nova,5601,100,217,383,603,403,570,248,74,0,0,100,232,155,0,0,8,1,68,0,0,88,92,0,0,0,0,0
280230,Frei Paulo,15556,294,608,994,1825,1195,1898,999,207,0,0,305,576,621,0,180,9,0,201,0,0,282,516,0,0,0,0,0
280240,Gararu,11601,203,448,701,1183,823,1188,504,140,0,0,257,509,274,0,0,5,3,118,0,0,176,210,0,0,0,0,0
280250,General Maynard,3384,47,109,207,363,233,379,215,98,0,0,53,106,118,0,0,3,1,90,0,0,20,105,0,0,0,0,0
280260,Gracho Cardoso,5824,150,281,469,793,553,718,325,104,0,0,165,277,172,0,0,0,0,73,0,0,158,94,0,0,0,0,0
280270,Ilha das Flores,8521,170,275,452,1162,472,1024,241,118,0,0,186,261,165,0,285,6,3,87,0,0,71,83,0,0,0,0,0
280280,Indiaroba,18149,221,453,850,1502,812,1389,407,222,0,0,279,448,301,0,111,21,7,179,0,0,94,134,0,0,0,0,0
280290,Itabaiana,96142,1449,3289,6024,10407,7617,10021,4072,2031,148,0,1908,3307,2510,0,0,68,49,1100,148,0,1604,1220,0,0,0,0,0
280300,Itabaianinha,42166,630,1353,2494,3651,2331,3568,1213,554,0,0,669,1195,1125,0,0,10,15,292,0,0,229,692,0,0,0,0,0
280310,Itabi,4886,115,264,446,703,493,629,344,91,0,0,103,269,166,0,0,0,0,84,0,0,100,160,0,0,0,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,3026,1936,3058,1295,537,0,0,459,1221,810,0,0,21,10,508,0,0,221,566,0,0,0,0,0
280330,Japaratuba,18907,302,670,1215,2480,1360,1902,690,262,0,0,340,680,305,0,315,0,0,249,0,0,252,189,0,0,0,0,0
280340,Japoatã,13429,208,477,734,1995,815,1751,318,207,0,0,256,492,300,0,495,0,1,164,0,0,63,91,0,0,0,0,0
280350,Lagarto,105221,1941,4108,7217,14670,8890,13787,5129,3346,48,0,2005,4067,3544,0,660,61,56,1541,45,0,767,2776,0,0,0,0,0
280360,Laranjeiras,30080,269,727,1448,5295,1445,4077,716,443,0,0,294,703,989,0,1628,3,17,402,0,0,104,210,0,0,0,0,0
280370,Macambira,6961,178,337,535,905,635,947,340,89,0,0,189,448,213,0,0,7,1,70,0,0,125,145,0,0,0,0,0
280380,Malhada dos Bois,3699,55,111,180,377,257,291,141,98,0,0,70,90,33,0,0,0,0,84,0,0,49,8,0,0,0,0,0
280390,Malhador,12653,203,468,914,1231,831,1199,542,147,0,0,221,484,328,0,0,9,10,135,0,0,216,191,0,0,0,0,0
