codigo_municipio,municipio,populacao_total,populacao_grupo4,populacao_grupo5,populacao_grupo6,enviadas_dose1,enviadas_dose2,aplicadas_dose1,aplicadas_dose2,aplicadas_dose1_grupo1,aplicadas_dose1_grupo2,aplicadas_dose1_grupo3,aplicadas_dose1_grupo4,aplicadas_dose1_grupo5,aplicadas_dose1_grupo6,aplicadas_dose2_grupo1,aplicadas_dose2_grupo2,aplicadas_dose2_grupo3,aplicadas_dose2_grupo4,aplicadas_dose2_grupo5,aplicadas_dose2_grupo6
280010,Amparo de São Francisco,2380,51,89,140,202,92,202,52,61,0,0,41,93,7,45,0,0,7,0,0
280020,Aquidabã,21681,481,932,1543,1864,664,1453,368,302,18,0,455,678,0,273,17,0,78,0,0
280030,Aracaju,664908,10149,24138,47854,67240,19280,56064,13401,21228,249,0,11488,23099,0,13162,239,0,0,0,0
280040,Arauá,9947,149,348,644,722,332,580,182,152,0,0,204,224,0,142,0,0,40,0,0
280050,Areia Branca,18686,281,548,1047,1221,491,1109,333,241,0,0,323,522,23,232,0,0,53,48,0
280060,Barra dos Coqueiros,30930,358,816,1754,1915,565,1654,286,517,0,0,388,725,24,228,0,0,58,0,0
280067,Boquim,26899,476,1158,1852,2486,756,2244,415,568,9,0,558,1109,0,275,9,0,119,12,0
280070,Brejo Grande,8353,121,199,417,418,148,342,93,108,0,0,141,93,0,69,0,0,24,0,0
280100,Campo do Brito,18218,408,774,1318,1545,825,1316,512,236,0,0,416,664,0,228,0,0,282,2,0
280110,Canhoba,4006,72,156,232,318,118,301,66,64,0,0,96,141,0,53,0,0,13,0,0
280120,Canindé de São Francisco,30402,278,703,1214,1365,695,1352,500,359,0,0,329,659,5,237,0,0,236,27,0
280130,Capela,34514,564,1121,2006,2413,803,2093,395,611,0,0,619,859,4,274,0,0,121,0,0
280140,Carira,22239,450,956,1559,1762,862,1508,570,240,0,0,502,764,2,216,0,0,321,33,0
280150,Carmópolis,16937,117,294,770,761,401,708,289,271,0,0,136,297,4,235,0,0,54,0,0
280160,Cedro de São João,5913,140,291,399,588,218,537,129,130,0,0,133,270,4,115,0,0,14,0,0
280170,Cristinápolis,18029,202,496,876,1247,627,780,417,295,0,0,285,200,0,285,0,0,132,0,0
280190,Cumbe,3998,94,198,262,404,154,392,103,70,0,0,94,194,34,64,0,0,27,12,0
280200,Divina Pastora,5215,69,155,317,364,184,357,130,118,0,0,77,144,18,108,0,0,22,0,0
280210,Estância,69556,1093,2308,4544,5108,1498,4964,1249,1340,33,0,1155,2436,0,751,33,0,461,4,0
280220,Feira Nova,5601,100,217,383,403,203,365,131,69,0,0,91,205,0,65,0,0,66,0,0
280230,Frei Paulo,15556,294,608,994,1195,565,1275,511,207,0,0,284,552,232,162,0,0,248,101,0
280240,Gararu,11601,203,448,701,823,403,714,206,136,0,0,255,304,19,97,0,0,100,9,0
280250,General Maynard,3384,47,109,207,263,133,248,112,92,0,0,52,104,0,96,0,0,16,0,0
280260,Gracho Cardoso,5824,150,281,469,563,303,558,211,87,0,0,166,282,23,72,0,0,136,3,0
280270,Ilha das Flores,8521,170,275,452,572,192,503,119,107,0,0,183,213,0,86,0,0,33,0,0
280280,Indiaroba,18149,221,453,850,952,362,804,212,188,0,0,262,354,0,167,0,0,45,0,0
280290,Itabaiana,96142,1449,3289,6024,7617,3517,6877,2686,1956,148,0,1863,2563,347,1023,148,0,1329,186,0
280300,Itabaianinha,42166,630,1353,2494,2751,741,2137,372,531,0,0,646,932,28,279,0,0,93,0,0
280310,Itabi,4886,115,264,446,493,253,438,115,89,0,0,100,249,0,61,0,0,54,0,0
280320,Itaporanga d'Ajuda,34709,482,1079,1790,2236,796,2037,550,485,0,0,456,1048,48,456,0,0,94,0,0
280330,Japaratuba,18907,302,670,1215,1380,690,1154,413,259,0,0,294,581,20,245,0,0,156,12,0
280340,Japoatã,13429,208,477,734,955,345,731,197,207,0,0,245,279,0,155,0,0,42,0,0
280350,Lagarto,105221,1941,4108,7217,10540,3025,9079,1865,3269,48,0,1977,3730,55,1476,44,0,345,0,0
280360,Laranjeiras,30080,269,727,1448,1615,665,1256,423,413,0,0,288,555,0,366,0,0,57,0,0
280370,Macambira,6961,178,337,535,635,335,570,205,88,0,0,189,293,0,69,0,0,122,14,0
280380,Malhada dos Bois,3699,55,111,180,287,147,224,84,96,0,0,93,35,0,78,0,0,6,0,0
280390,Malhador,12653,203,468,914,841,421,691,278,135,0,0,216,340,0,119,0,0,159,0,0
280400,Maruim,17271,179,453,898,981,561,955,356,251,0,0,250,454,0,220,0,0,111,25,0
280410,Moita Bonita,11348,318,611,904,1145,565,1017,290,130,0,0,318,569,0,111,0,0,177,2,0
280420,Monte Alegre de Sergipe,15175,183,452,806,868,448,841,370,179,0,0,207,392,63,154,0,0,187,29,0
280430,Muribeca,7639,120,263,500,531,201,471,129,98,0,0,124,248,1,88,0,0,39,2,0
280440,Neópolis,18703,361,698,1274,1546,586,863,302,339,0,0,291,233,0,261,0,0,41,0,0
280445,Nossa Senhora Aparecida,8809,170,416,645,810,380,688,262,137,0,0,209,340,2,128,0,0,134,0,0
280450,Nossa Senhora da Glória,37324,525,1255,2188,2581,1241,2535,610,721,20,0,665,1129,0,295,19,0,296,0,0
280460,Nossa Senhora das Dores,26795,473,1011,1821,2089,1089,1325,926,377,0,0,549,399,0,377,0,0,549,0,0
280470,Nossa Senhora de Lourdes,6496,114,268,459,548,228,520,182,112,0,0,154,252,2,94,0,0,69,19,0
